EN2213,Aerodinâmica I A-diurno (Santo André),"terca das 10:00 às 12:00, sala S - 307-1, semanal , quinta das 08:00 às 10:00, sala S - 307-1, semanal",0,LEONARDO DE OLIVE FERREIRA,0
BC0001,"Base Experimental das Ciências Naturais A4-diurno (Santo André)",0,"quinta das 08:00 às 11:00, sala L405-3 semanal",0,JEROEN SCHOENMAKER
BC0001,"Base Experimental das Ciências Naturais A4-Noturno (Santo André)",0,"quinta das 19:00 às 22:00, sala L606, semanal",0,César Augusto João Ribeiro
BC0001,"Base Experimental das Ciências Naturais A5-diurno (Santo André)",0,"quinta das 08:00 às 11:00, sala 404-3, semanal",0,ANDERSON ORZARI RIBEIRO
BC0001,"Base Experimental das Ciências Naturais A5-Noturno (Santo André)",0,"quinta das 19:00 às 22:00, sala 404-3, semanal",0,CARLOS ALBERTO DA SILVA
BC0001,"Base Experimental das Ciências Naturais A6-diurno (Santo André)",0,"quinta das 08:00 às 11:00, sala L606, semanal",0,Juliana Casares Araujo Chaves
BC0001,"Base Experimental das Ciências Naturais A6-Noturno (Santo André)",0,"quinta das 19:00 às 22:00, sala 405-3, semanal",0,ALVARO TAKEO OMORI
BC0001,"Base Experimental das Ciências Naturais A7-Noturno (Santo André)",0,"quinta das 19:00 às 22:00, sala 408-3, semanal",0,Prof. Visitante 2 Química
BC0001,"Base Experimental das Ciências Naturais B1-diurno (Santo André)",0,"segunda das 08:00 às 11:00, sala L601/602, semanal",0,JULIANA MARCHI
BC0001,"Base Experimental das Ciências Naturais B1-Noturno (Santo André)",0,"segunda das 19:00 às 22:00, sala L606 semanal",0,JEROEN SCHOENMAKER
BC0001,"Base Experimental das Ciências Naturais B2-diurno (Santo André)",0,"segunda das 08:00 às 11:00, sala L602, semanal",0,CARLOS SUETOSHI MIYAZAWA
BC0001,"Base Experimental das Ciências Naturais B2-Noturno (Santo André)",0,"segunda das 19:00 às 22:00, sala L602, semanal",0,Juliana Casares Araujo Chaves
BC0001,"Base Experimental das Ciências Naturais B3-diurno (Santo André)",0,"segunda das 08:00 às 11:00, sala L605, semanal",0,IVANISE GAUBEUR
BC0001,"Base Experimental das Ciências Naturais B3-Noturno (Santo André)",0,"segunda das 19:00 às 22:00, sala L605, semanal",0,MARISELMA FERREIRA
BC0001,"Base Experimental das Ciências Naturais B4-diurno (Santo André)",0,"segunda das 08:00 às 11:00, sala L606, semanal",0,MARCELO BUSSOTTI REYES
BC0001,"Base Experimental das Ciências Naturais B4-Noturno (Santo André)",0,"segunda das 19:00 às 22:00, sala L606, semanal",0,Aline Diniz Cabral
BC0001,"Base Experimental das Ciências Naturais B5-diurno (Santo André)",0,"segunda das 08:00 às 11:00, sala 405-3, semanal e sala 305-3",0,JEROEN SCHOENMAKER
BC0001,"Base Experimental das Ciências Naturais B5-Noturno (Santo André)",0,"segunda das 19:00 às 22:00, sala 404-3, semanal",0,CARLOS ALBERTO DA SILVA
BC0001,"Base Experimental das Ciências Naturais B6-diurno (Santo André)",0,"segunda das 08:00 às 11:00, sala 404-3, semanal",0,Tatiana Prieto
BC0001,"Base Experimental das Ciências Naturais B6-Noturno (Santo André)",0,"segunda das 19:00 às 22:00, sala 405-3, semanal",0,ALVARO TAKEO OMORI
BC0001,"Base Experimental das Ciências Naturais B7-Noturno (Santo André)",0,"segunda das 19:00 às 22:00, sala 408-3, semanal",0,MARCELO BUSSOTTI REYES
BC0001,"Base Experimental das Ciências Naturais C1-diurno (Santo André)",0,"quinta das 14:00 às 17:00, sala L601/602, semanal",0,ALEXSANDRE FIGUEIREDO LAGO
BC0001,"Base Experimental das Ciências Naturais C1-Noturno (Santo André)",0,"sabado das 08:00 às 11:00, sala L601/602, semanal",0,ELIZABETH TEODOROV
